Id,ACTION
1,0.7346226834515363
2,0.9485268607471617
3,0.967533819899026
4,0.9790031969312487
5,0.9779959367193589
6,0.9799394540831124
7,0.9045312696393093
8,0.9850635565908404
9,0.8846770553614872
10,0.9643745699431057
11,0.9322579428654124
12,0.9638792728728062
13,0.9376437237740161
14,0.9272228786213202
15,0.9681419312607557
16,0.967533819899026
17,0.9421369256206165
18,0.9481370575166665
19,0.976317348114541
20,0.9692645071889793
21,0.9612694296940252
22,0.9440546237755696
23,0.9455187167795994
24,0.9477157997568906
25,0.9635878757063048
26,0.9543413364140774
27,0.9649255559555604
28,0.782141921478113
29,0.9749981618483174
30,0.9441454500349654
31,0.977525779356807
32,0.965244183652129
33,0.9724861986520423
34,0.9837816900638324
35,0.977525779356807
36,0.9652940554465396
37,0.9752745533503516
38,0.9541200582495974
39,0.9280869487919877
40,0.9594534787264933
41,0.9415417410335046
42,0.9538873134150252
43,0.9308716745444825
44,0.9876349512493627
45,0.9538488648947665
46,0.9405362657505042
47,0.9671178394688503
48,0.9296949109146824
49,1.0012187437484565
50,0.9649255559555604
51,0.8529776630067207
52,0.9802992614109496
53,0.9597791729131622
54,0.9635878757063048
55,0.9511386971886712
56,0.9049047206587556
57,0.9897647773147543
58,0.9693628890329017
59,0.9665373281596609
60,0.9538873134150252
61,0.9577582495024625
62,0.9548462456493114
63,0.9296949109146824
64,0.976317348114541
65,0.9695624834592513
66,0.9703073019531686
67,0.9612982394594078
68,0.9766846144434673
69,0.9532058946150787
70,0.919659389031207
71,0.9664910251348366
72,0.9698248848789888
73,0.9635878757063048
74,0.9864466001683057
75,0.9671178394688503
76,0.9835847099691776
77,0.9664910251348366
78,0.974027711867644
79,0.8528989465130876
80,0.9507307046531381
81,0.9703073019531686
82,0.9544352260037544
83,0.9731546506809218
84,0.9773414399064463
85,0.9565060927612798
86,0.9049047206587556
87,0.969768311472098
88,0.9651398389171096
89,0.9692124085038439
90,0.9534136894022374
91,0.965244183652129
92,0.9420954956728634
93,0.976317348114541
94,0.9296634166456512
95,0.9599289366441008
96,0.9405289634979218
